MSA,ZillowHVI,ZillowRent,Population,CollegeDegree,F500_HQ,CrimeIndex,Amazon_HQIndex,MLB_Team
New York,427300,2619.396639,20153634,36,44,371.4,49.50080053,YES
Los Angeles-Long Beach-Anaheim,612400,3065.439189,13310447,31,15,368.9,40.91773785,YES
Chicago,213300,1783.70405,9512999,34,28,380.1,41.91189448,YES
Dallas-Fort Worth,213000,1795.10559,7233323,31.1,22,303,41.91714572,YES
Houston,182100,1834.825243,6772470,28.4,24,567.4,30.38100314,YES
Washington,384500,2108.526829,6131977,46.8,12,316.6,49.78832533,YES
Philadelphia,218800,1801.617414,6070500,33.1,10,459.6,35.8318703,YES
Miami-Fort Lauderdale,256100,2127.443662,6066387,28.1,5,595.2,28.47989394,YES
Atlanta,181700,1292.333333,5789700,34.1,12,398.4,37.63595296,YES
Boston,430200,2347.020513,4794447,43,9,376.9,45.31799519,YES
San Francisco,864300,4365.975309,4679166,43.4,8,498.1,37.52786824,YES
Phoenix,239100,1535.666667,4661537,27.2,4,348,35.54701222,YES
Riverside,332000,1625.336957,4527837,19.5,0,327.5,32.4745285,NO
Detroit,142200,1428.913043,4297617,27.3,6,529.4,28.14838374,YES
Seattle,453100,2215.887755,3798902,37,9,327.3,47.00693304,YES
Minneapolis-St Paul,247400,1606.601124,3551036,37.9,10,261.8,48.97108861,YES
San Diego,552400,3001.942857,3317749,33.7,3,325.2,43.36001238,YES
Tampa,187400,1466.7125,3032171,26.2,2,447.5,34.58742513,YES
Denver,372400,2125.684211,2853077,38.2,10,331.2,47.59124289,YES
St. Louis,148200,1203.610169,2807002,29.9,6,429.8,36.7417271,YES
Baltimore,261600,1965.745098,2798886,35.1,2,588.5,35.01363208,YES
Charlotte,177800,1236.3,2474314,32.2,7,392.2,39.45937351,NO
Orlando,208900,1431,2441257,28.1,2,685.4,26.36978092,NO
San Antonio,166200,1853.659091,2429609,25.4,5,404.9,36.27734032,NO
Portland,369900,1737.944,2424955,33,0,127.6,51.03775394,NO
Pittsburgh,138900,730.75,2342299,29.1,1,287.2,40.32504897,YES
Sacramento,372300,1868.090909,2296418,29.4,0,410.6,38.63847671,NO
Cincinnati,153900,1208.035714,2165139,29.3,7,267.3,42.36161972,YES
Las Vegas,230100,1201.181818,2155664,21.6,2,743,20.32539613,NO
Kansas City,160600,1359.656716,2104509,32.5,1,482.1,35.83422669,YES
Austin,273400,1916,2056405,39.4,4,290.9,48.26185725,NO
Cleveland,136400,1407.382979,2055612,27.7,5,494.5,33.04892304,YES
Columbus,165100,1315.522222,2041520,32.5,7,439.7,37.71868235,NO
Indianapolis,138900,806.2,2004230,30.7,2,646.3,27.65944011,NO
San Jose,1038900,4404.208333,1978816,45.3,12,249.8,51.21686057,NO
Nashville,224100,1584.666667,1865298,29.7,2,610.9,30.09315606,NO
Virginia Beach,222900,1424.269231,1726907,28.5,1,308.6,40.46046119,NO
Providence,273600,1735.574074,1614750,28.5,1,328.9,40.38443766,NO
Milwaukee,217000,1650.487179,1572482,31.7,6,634,30.47884056,YES
Jacksonville,184200,1004.617647,1478212,26.9,1,412.3,34.71104649,NO
Oklahoma City,136100,1093.657143,1373211,27.6,4,463.7,33.24453292,NO
Memphis,121800,1244.8125,1342842,25.1,3,1033.5,10.55563845,NO
Raleigh,230100,1242.296296,1302946,41,1,363,44.52064285,NO
Louisville-Jefferson County,147000,1410.289855,1283430,25.8,3,395,35.37848023,NO
Richmond,210300,1238.788732,1281708,31.7,6,232.2,44.76902443,NO
Hartford,223800,1706.35,1206836,34.6,3,252.2,46.18913723,NO
Salt Lake City,263700,1672.137931,1186187,29,1,348,39.58604188,NO
Birmingham,133600,1141.084746,1147417,26.3,2,576.5,28.14999999,NO
Buffalo,149000,1289.9375,1132804,28.3,0,435.5,34.71385912,NO
Rochester,131600,1365.57971,1078879,30.6,1,141,47.14012009,NO
